URL,Title,Sub-heading,Description,Content under product listing
https://jrdunn.com/designers/gucci-jewelry/new-best-sellers.html,New Gucci Jewelry,,"Shop new Gucci jewelry. The latest rings, necklaces, bracelets and earrings have romantic moods and motifs. There are new collections, like the honey bee-centric Le Marche des Merveilles and Icon Blossom with an engraved blossom design in enamel with its feminine flourishes. Gucci Flora has been reinvented and reinterpreted in rose gold and diamond, along with enamel, ruby and pink gold combinations.",
https://jrdunn.com/diamonds-engagement-rings/tacori/eternity-bands/women-s.html,Tacori Womens Wedding Rings,,"The Tacori Girl has an effortless attitude. Whether simple or sophisticated, Tacori bridal jewelry is elevated to an art – wearable art – by the brand’s uncompromising craftsmen. Each intricate piece is handcrafted in California, with detail on the inner face that will complement her Tacori engagement ring. Styles of stunning beauty with amazing attention to detail include eternity bands with diamonds all around, half-way around, petite and pave. Whether you’re classic and confident, elegant yet easy-going or looking for a bit of laid-back luxury, there’s a Tacori women’s wedding ring for you.",
https://jrdunn.com/designers.html,Designer Jewelry,Shop new Gucci jewelry. ,"J.R. Dunn offers a full assortment of collections from highly esteemed designer brands, including Gucci, John Hardy, Marco Bicego, Messika, Mikimoto, Roberto Coin, and Tacori. Enjoy a wide selection of gorgeous rings, earrings, necklaces and more from these coveted, luxurious designer brands.",
https://jrdunn.com/diamonds-engagement-rings/a-jaffe.html,A. Jaffe Engagement Rings,Diamond engagement rings in 18k gold,"Shop the collection of A. Jaffe engagement rings featuring diamond pave bands and hidden halos. Expertly crafted by skilled artisans, A. Jaffe diamond rings have a signature quilted design on the interior of the ring for perfect comfort.",
https://jrdunn.com/designer-jewelry-by-category/bracelets/diamond-tennis-bracelets.html,Diamond Tennis Bracelets,STEP OUT WEARING THE MOST DESIRABLE DESIGNER JEWELRY ON THE MARKET.,"We've curated our collection of best-selling diamond tennis bracelets, from classic white gold styles in different carat weights to yellow gold and rose.",
https://jrdunn.com/designer-jewelry-by-category/necklaces/white-gold.html,WHITE GOLD NECKLACES,,"The most elegant and timeless of all metals, white gold. Discover our collection of different styles crafted in 14K gold and 18K gold. The most popular metal for special occasions. Celebrate birthdays or graduations with a classic white gold diamond necklace. Styling a beautiful lariat with your wedding dress is also a great trendy yet classy option. Whichever occasion you are celebrating J.R.DUNN has white gold necklaces guaranteed to match your style.",
https://jrdunn.com/designer-jewelry-by-category/earrings/ear-climbers.html,EAR CLIMBER EARRINGS,,"There’s an earring category that’s scaling to new heights of style, taking its place in jewelry history as a very popular trend with staying power: ear climbers (also known as vine earrings, ear sweepers or ear crawlers). The single-piercing style that can give the illusion of multiple piercings presents a striking silhouette. Ear climbers have a curved design which starts at the lobe and climb up the ear in varying lengths, all the way up to those that stretch the entire length of ear. They’re edgy and sophisticated. Ear climbers have gone from the catwalks to the modern woman's wardrobe. Red carpet events to everyday events, they are appropriate for home and office. Ear climbers are chic, modern and versatile. Wear them with an up ‘do, or if you’re rocking short hair, and feel your confidence soar!",
https://jrdunn.com/watches/accutron/legacy.html,Accutron Legacy Watches,,The Accutron Legacy watch collection re-introduces the historical timepieces from the 1960 and 1970 Accutron editions. Some of these classic watches have been worn by presidents and musicians of epic proportions such as Elvis Presley. Within this collection of timepieces you'll find stainless steel and gold toned watches fixed with leather straps or metal bracelets. These sleek timepieces all feature a Swiss made Sellita movement that provide both accuracy and reliability.,
https://jrdunn.com/designer-jewelry-by-category/necklaces/rose-gold.html,ROSE GOLD NECKLACES,,"The trend of rose gold will always remain. There is something about it that gives off a fun, feminine energy. Our collection of necklaces feature different styles crafted in 14K gold and 18K gold. Discover chokers from Carbon & Hyde or name plate pendant necklaces from EF collection. If you’re looking for something that pops, rose gold is the perfect pop of color to sit against your skin. Consider a beautiful Mikimoto pearl for an elegant yet trendy look. J.R.DUNN offers a wide selection of rose gold necklaces from top designers.",
https://jrdunn.com/wedding-rings/womens-wedding-bands/yellow-gold.html,WOMENS YELLOW GOLD WEDDING RINGS - TIMELESS ELEGANCE,,"A piece of jewelry can easily define who you are and your wedding band should be no different! If you lean towards yellow gold then your style is enduring and classic. Still the most popular choice gold tone to wear as a symbol of your marriage, the yellow gold wedding band never goes out of style.

Womens yellow wedding rings come in many different variations and styles to match that beautiful yellow gold diamond engagement ring he proposed to you with. Our selection of womens wedding rings are available in the most simple and delicate vintage styling or extravagantly modern designs.",
